,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
118,NDXP240426P17120000,2024-04-25 13:33:07+00:00,17120.0,88.33,0.0,0.0,0.0,0.0,2.0,0,0.062509375,False,REGULAR,USD
119,NDXP240426P17125000,2024-04-25 20:00:31+00:00,17125.0,22.4,0.0,0.0,0.0,0.0,15.0,0,0.062509375,False,REGULAR,USD
120,NDXP240426P17130000,2024-04-25 20:00:13+00:00,17130.0,24.02,0.0,0.0,0.0,0.0,26.0,0,0.062509375,False,REGULAR,USD
121,NDXP240426P17140000,2024-04-25 19:30:18+00:00,17140.0,18.77,0.0,0.0,0.0,0.0,25.0,0,0.062509375,False,REGULAR,USD
122,NDXP240426P17150000,2024-04-25 20:05:37+00:00,17150.0,4.43,0.0,0.0,0.0,0.0,91.0,0,0.062509375,False,REGULAR,USD
123,NDXP240426P17170000,2024-04-25 19:59:21+00:00,17170.0,29.85,0.0,0.0,0.0,0.0,20.0,0,0.062509375,False,REGULAR,USD
124,NDXP240426P17175000,2024-04-25 19:33:09+00:00,17175.0,25.65,0.0,0.0,0.0,0.0,2.0,0,0.062509375,False,REGULAR,USD
125,NDXP240426P17180000,2024-04-25 19:13:42+00:00,17180.0,29.53,0.0,0.0,0.0,0.0,17.0,0,0.062509375,False,REGULAR,USD
126,NDXP240426P17190000,2024-04-25 19:30:41+00:00,17190.0,25.75,0.0,0.0,0.0,0.0,16.0,0,0.062509375,False,REGULAR,USD
127,NDXP240426P17200000,2024-04-25 20:11:14+00:00,17200.0,5.1,0.0,0.0,0.0,0.0,148.0,0,0.062509375,False,REGULAR,USD
128,NDXP240426P17210000,2024-04-25 18:55:00+00:00,17210.0,49.35,0.0,0.0,0.0,0.0,17.0,0,0.062509375,False,REGULAR,USD
129,NDXP240426P17220000,2024-04-25 19:59:33+00:00,17220.0,39.42,0.0,0.0,0.0,0.0,25.0,0,0.0312596875,False,REGULAR,USD
130,NDXP240426P17225000,2024-04-25 20:01:28+00:00,17225.0,24.9,0.0,0.0,0.0,0.0,25.0,0,0.0312596875,False,REGULAR,USD
131,NDXP240426P17230000,2024-04-25 19:19:07+00:00,17230.0,32.89,0.0,0.0,0.0,0.0,5.0,0,0.0312596875,False,REGULAR,USD
132,NDXP240426P17240000,2024-04-25 19:30:41+00:00,17240.0,34.65,0.0,0.0,0.0,0.0,10.0,0,0.0312596875,False,REGULAR,USD
133,NDXP240426P17250000,2024-04-25 20:11:14+00:00,17250.0,6.4,0.0,0.0,0.0,0.0,36.0,0,0.0312596875,False,REGULAR,USD
134,NDXP240426P17270000,2024-04-25 19:43:02+00:00,17270.0,53.81,0.0,0.0,0.0,0.0,19.0,0,0.0312596875,False,REGULAR,USD
135,NDXP240426P17275000,2024-04-25 19:54:15+00:00,17275.0,58.4,0.0,0.0,0.0,0.0,20.0,0,0.0312596875,False,REGULAR,USD
136,NDXP240426P17280000,2024-04-25 19:43:02+00:00,17280.0,56.19,0.0,0.0,0.0,0.0,13.0,0,0.0312596875,False,REGULAR,USD
137,NDXP240426P17290000,2024-04-25 19:54:15+00:00,17290.0,62.96,0.0,0.0,0.0,0.0,12.0,0,0.0312596875,False,REGULAR,USD
138,NDXP240426P17300000,2024-04-25 20:04:43+00:00,17300.0,11.6,0.0,0.0,0.0,0.0,44.0,0,0.0312596875,False,REGULAR,USD
139,NDXP240426P17320000,2024-04-25 19:19:07+00:00,17320.0,55.78,0.0,0.0,0.0,0.0,14.0,0,0.0312596875,False,REGULAR,USD
140,NDXP240426P17325000,2024-04-25 20:00:03+00:00,17325.0,70.6,0.0,0.0,0.0,0.0,18.0,0,0.0312596875,False,REGULAR,USD
141,NDXP240426P17330000,2024-04-25 20:06:06+00:00,17330.0,8.38,0.0,0.0,0.0,0.0,27.0,0,0.015634843750000002,False,REGULAR,USD
142,NDXP240426P17340000,2024-04-25 20:10:53+00:00,17340.0,9.75,0.0,0.0,0.0,0.0,14.0,0,0.015634843750000002,False,REGULAR,USD
143,NDXP240426P17350000,2024-04-25 20:05:05+00:00,17350.0,15.45,0.0,0.0,0.0,0.0,30.0,0,0.015634843750000002,False,REGULAR,USD
144,NDXP240426P17360000,2024-04-25 20:09:03+00:00,17360.0,12.55,0.0,0.0,0.0,0.0,12.0,0,0.015634843750000002,False,REGULAR,USD
145,NDXP240426P17370000,2024-04-25 19:55:45+00:00,17370.0,88.3,0.0,0.0,0.0,0.0,17.0,0,0.015634843750000002,False,REGULAR,USD
146,NDXP240426P17375000,2024-04-25 19:19:46+00:00,17375.0,70.0,0.0,0.0,0.0,0.0,11.0,0,0.015634843750000002,False,REGULAR,USD
147,NDXP240426P17390000,2024-04-25 20:10:53+00:00,17390.0,12.75,0.0,0.0,0.0,0.0,24.0,0,0.007822421875,False,REGULAR,USD
148,NDXP240426P17400000,2024-04-25 20:05:05+00:00,17400.0,22.65,0.0,0.0,0.0,0.0,38.0,0,0.007822421875,False,REGULAR,USD
149,NDXP240426P17410000,2024-04-25 20:09:03+00:00,17410.0,16.55,0.0,0.0,0.0,0.0,2.0,0,0.0039162109375,False,REGULAR,USD
150,NDXP240426P17420000,2024-04-25 20:00:03+00:00,17420.0,109.35,0.0,0.0,0.0,0.0,11.0,0,0.00196310546875,False,REGULAR,USD
151,NDXP240426P17425000,2024-04-25 20:02:14+00:00,17425.0,68.6,0.0,0.0,0.0,0.0,21.0,0,0.00196310546875,False,REGULAR,USD
152,NDXP240426P17430000,2024-04-25 20:10:44+00:00,17430.0,16.9,0.0,0.0,0.0,0.0,28.0,0,0.00013206909179687502,False,REGULAR,USD
